,ΨΔ 38: Ανάλυση Συνεπειών Ρύθμισης,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Labels,,,,,,,,,,,,,,,
S/N,Τρέχουσα Ονομασία/Τίτλος Πεδίου,Επιθυμητή Ονομασία/Τίτλος Πεδίου ,,,,,,,,,,,,,,
1,Τίτλος αξιολογούμενης ρύθμισης,Τίτλος σχεδίου νόμου,ΠΙΝΑΚΑΣ ΠΕΡΙΕΧΟΜΕΝΩΝ                 (ΑΡΧΙΚΗ ΣΕΛΙΔΑ),,,,,,,,,,,,,
2,Επισπεύδων φορέας,Επισπεύδον Υπουργείο,,,,,,,,,,,,,,
3,Ρύθμιση την οποία αφορά,Τίτλος αξιολογούμενης ρύθμισης,,,,,,,,,,,,,,
4,Αιτιολογική έκθεση,Αιτιολογική έκθεση,,,,,,,,,,,,,,
5,Η «ταυτότητα» της αξιολογούμενης ρύθμισης,Η «ταυτότητα» της αξιολογούμενης ρύθμισης (πεδία 1-3),,,,,,,,,,,,,,
6,Η αναγκαιότητα της αξιολογούμενης ρύθμισης ,Η αναγκαιότητα της αξιολογούμενης ρύθμισης (πεδίο 4),,,,,,,,,,,,,,
7,Η αναγκαιότητα της αξιολογούμενης ρύθμισης ,Η αναγκαιότητα της αξιολογούμενης ρύθμισης (πεδίο 5),,,,,,,,,,,,,,
8,Συναφείς πρακτικές,Συναφείς πρακτικές (πεδίο 6),,,,,,,,,,,,,,
9,Στόχοι αξιολογούμενης ρύθμισης ,Στόχοι αξιολογούμενης ρύθμισης (πεδία 7-8),,,,,,,,,,,,,,
10,Ειδικότεροι στόχοι ανάλογα με τον τομέα νομοθέτησης,Ειδικότεροι στόχοι ανάλογα με τον τομέα νομοθέτησης (πεδίο 9),,,,,,,,,,,,,,
11,Ψηφιακή διακυβέρνηση ,Ψηφιακή διακυβέρνηση (πεδία 10-13),,,,,,,,,,,,,,
12,Κατ’άρθρο ανάλυση αξιολογούμενης ρύθμισης ,Κατ’άρθρο ανάλυση αξιολογούμενης ρύθμισης (πεδίο 14),,,,,,,,,,,,,,
