fieldId,fieldName,tooltipText
title,Τίτλος αξιολογούμενης ρύθμισης Τίτλος σχεδίου νόμου,Ο τίτλος πρέπει να είναι μοναδικός
typos_analysis,Τύπος ανάλυσης,Συμπληρώνεται αυτόματα
initial_submit,Αρχική καταχώρηση,Συμπληρώνεται αυτόματα
last_updated,Τελευταία ενημέρωση,Συμπληρώνεται αυτόματα
epispeudon_foreas,Επισπεύδον φορέας Επισπεύδον Υπουργείο,Επισπεύδον Υπουργείο 
rythmisi_pou_afora,Ρύθμιση την οποία αφορά Τίτλος αξιολογούμενης ρύθμισης,"Αν δεν αφορά συγκεκριμένη ρύθμιση του νομοσχεδίου, το πεδίο παραμένει κενό. "
stoixeia_epikoinwnias,Στοιχεία επικοινωνίας,"Αρμόδια υπηρεσία Υπουργείου, τηλέφωνο, e-mail κ.ο.κ."
,Κατάλογος τομέων νομοθέτησης,
tomeis_nomothetisis,Επιλέξατε από τον παρακάτω κατάλογο τον τομέα ή τους τομείς νομοθέτησης στους οποίους αφορούν οι βασικές διατάξεις της αξιολογούμενης ρύθμισης,Ανάλογα με τις επιλογές σας εμφανίζονται οι αντίστοιχοι πίνακες προς συμπλήρωση στο πεδίο 9 «Ειδικότεροι στόχοι ανάλογα με τον τομέα νομοθέτησης».  
ekpedeusi_politismos,ΕΚΠΑΙΔΕΥΣΗ - ΠΟΛΙΤΙΣΜΟΣ,Τομέας νομοθέτησης επί θεμάτων Υπουργείου Παιδείας & Θρησκευμάτων και Υπουργείου Πολιτισμού & Αθλητισμού.
eksoteriki_politiki,ΕΘΝΙΚΗ ΑΜΥΝΑ - ΕΞΩΤΕΡΙΚΗ ΠΟΛΙΤΙΚΗ,Τομέας νομοθέτησης επί θεμάτων Υπουργείου Εθνικής Άμυνας και Υπουργείου Εξωτερικών.
forologiki_politiki,ΟΙΚΟΝΟΜΙΚΗ / ΔΗΜΟΣΙΟΝΟΜΙΚΗ / ΦΟΡΟΛΟΓΙΚΗ ΠΟΛΙΤΙΚΗ,Τομέας νομοθέτησης επί θεμάτων Υπουργείου Οικονομικών.
koinoniki_politiki,ΚΟΙΝΩΝΙΚΗ ΠΟΛΙΤΙΚΗ,Τομέας νομοθέτησης επί θεμάτων Υπουργείου Εργασίας και Κοινωνικών Υποθέσεων και Υπουργείου Υγείας.
